user_id,true_label,risk_score,predicted_blacklist,risk_level,data_source
118355,,0.991621427,1,極高風險,predict
64142,1,0.99084619,1,極高風險,train
64143,1,0.989951915,1,極高風險,train
64144,1,0.989919115,1,極高風險,train
64145,1,0.989603784,1,極高風險,train
64146,1,0.989504047,1,極高風險,train
64147,1,0.989312027,1,極高風險,train
64148,1,0.989309917,1,極高風險,train
64149,1,0.989078806,1,極高風險,train
64150,1,0.988156925,1,極高風險,train
64151,1,0.987908042,1,極高風險,train
64152,1,0.987850348,1,極高風險,train
64153,1,0.98765893,1,極高風險,train
64154,1,0.987444035,1,極高風險,train
64155,1,0.987194856,1,極高風險,train
64156,1,0.987063985,1,極高風險,train
64157,1,0.986685914,1,極高風險,train
64158,1,0.986662168,1,極高風險,train
64159,1,0.986647155,1,極高風險,train
64160,1,0.986371161,1,極高風險,train
64161,1,0.986319006,1,極高風險,train
64162,1,0.986101543,1,極高風險,train
124785,,0.986056698,1,極高風險,predict
64163,1,0.98605553,1,極高風險,train
64164,1,0.986020234,1,極高風險,train
64165,1,0.985963701,1,極高風險,train
64166,1,0.98571906,1,極高風險,train
64167,1,0.985695903,1,極高風險,train
64168,1,0.985517966,1,極高風險,train
64169,1,0.985456757,1,極高風險,train
64170,1,0.985352709,1,極高風險,train
64171,1,0.985340817,1,極高風險,train
64172,1,0.985288204,1,極高風險,train
117283,,0.985198708,1,極高風險,predict
64173,1,0.985102883,1,極高風險,train
64174,1,0.98509745,1,極高風險,train
64175,1,0.985062421,1,極高風險,train
64176,1,0.98473691,1,極高風險,train
64177,1,0.984688445,1,極高風險,train
226,0,0.984654543,1,極高風險,train
64178,1,0.984433306,1,極高風險,train
64179,1,0.984390439,1,極高風險,train
64180,1,0.984263206,1,極高風險,train
115889,,0.984175811,1,極高風險,predict
64181,1,0.984159009,1,極高風險,train
64182,1,0.984157539,1,極高風險,train
120811,,0.984096832,1,極高風險,predict
64183,1,0.984050992,1,極高風險,train
64184,1,0.983963136,1,極高風險,train
64185,1,0.983863568,1,極高風險,train
64186,1,0.983814097,1,極高風險,train
64187,1,0.98378107,1,極高風險,train
64188,1,0.983675142,1,極高風險,train
64189,1,0.983660451,1,極高風險,train
64190,1,0.983616023,1,極高風險,train
64191,1,0.98360179,1,極高風險,train
64192,1,0.983561198,1,極高風險,train
64193,1,0.98335243,1,極高風險,train
64194,1,0.983335479,1,極高風險,train
64195,1,0.983294051,1,極高風險,train
64196,1,0.983281421,1,極高風險,train
64197,1,0.983204502,1,極高風險,train
64198,1,0.983043608,1,極高風險,train
123496,,0.98303443,1,極高風險,predict
64199,1,0.982993362,1,極高風險,train
64200,1,0.982789719,1,極高風險,train
64201,1,0.982598193,1,極高風險,train
64202,1,0.982521922,1,極高風險,train
64203,1,0.982459223,1,極高風險,train
64204,1,0.982447833,1,極高風險,train
64205,1,0.982424988,1,極高風險,train
64206,1,0.982383122,1,極高風險,train
64207,1,0.982341364,1,極高風險,train
64208,1,0.982144925,1,極高風險,train
64209,1,0.982114099,1,極高風險,train
64210,1,0.982043551,1,極高風險,train
64211,1,0.982018241,1,極高風險,train
127534,,0.981938113,1,極高風險,predict
119565,,0.981732011,1,極高風險,predict
115954,,0.981709841,1,極高風險,predict
64212,1,0.98169903,1,極高風險,train
64213,1,0.981631255,1,極高風險,train
64214,1,0.981499285,1,極高風險,train
64215,1,0.981451195,1,極高風險,train
117057,,0.98141063,1,極高風險,predict
64216,1,0.981395649,1,極高風險,train
118112,,0.981361754,1,極高風險,predict
64217,1,0.981343207,1,極高風險,train
64218,1,0.981310147,1,極高風險,train
64219,1,0.981295013,1,極高風險,train
64220,1,0.981277592,1,極高風險,train
64221,1,0.981254143,1,極高風險,train
64222,1,0.981242973,1,極高風險,train
64223,1,0.981213846,1,極高風險,train
