source,target,source_raw,target_raw,edge_type
user_10023,wallet_50170e263813,10023,50170e26381311e2799a5094901a0590,user_sends_wallet
user_21024,wallet_46dc15b6730b,21024,46dc15b6730bccce9b40b1f9e3a53074,user_sends_wallet
user_62984,wallet_b94a6c2902ed,62984,b94a6c2902ed8a5f29e1c9cac609d2b9,user_sends_wallet
user_84826,wallet_e1ee42365b86,84826,e1ee42365b866f3b108b51b607bff14c,user_sends_wallet
user_96357,wallet_a45eb6207755,96357,a45eb620775545b545e796a1944a0b85,user_sends_wallet
user_96357,wallet_c08f7adf5807,96357,c08f7adf5807e258becf74965bac32e0,user_sends_wallet
user_132962,wallet_df95bb01a5a4,132962,df95bb01a5a40b4bd9c8c9a0f551985d,user_sends_wallet
user_139753,wallet_01ade888591f,139753,01ade888591f4ff56d352915f3d6550e,user_sends_wallet
user_166773,wallet_3a1e41896022,166773,3a1e4189602233596070e4b6f522103b,user_sends_wallet
user_170345,wallet_28f2ba6badf9,170345,28f2ba6badf9690e2214886e75ee2098,user_sends_wallet
user_172544,wallet_5339709076f8,172544,5339709076f83e994b4d8d53425221a1,user_sends_wallet
user_193874,wallet_a0c49c869e5c,193874,a0c49c869e5c2b1f44337c5d6cfdd7a1,user_sends_wallet
user_227000,wallet_e2553ba5c8f7,227000,e2553ba5c8f7c0bbc18821d43a208c76,user_sends_wallet
user_241263,wallet_61fc2098af26,241263,61fc2098af2655e23f6cad71a148bae2,user_sends_wallet
user_286400,wallet_e1df3dbfd3b9,286400,e1df3dbfd3b95337abff4044789f3ae3,user_sends_wallet
user_306328,wallet_46a9a2bcf3f9,306328,46a9a2bcf3f9456f37c3a69510a9e1ce,user_sends_wallet
user_319513,wallet_fd4ed9b91555,319513,fd4ed9b915552eb3a08cad78b88c29d6,user_sends_wallet
user_412761,wallet_4d7e60e75b0f,412761,4d7e60e75b0fb59b9cf095593db6c4ab,user_sends_wallet
user_428889,wallet_c084ebf9544e,428889,c084ebf9544ee8de79c8798ff3fce8ac,user_sends_wallet
user_429863,wallet_83b8603839cf,429863,83b8603839cfc923ecf6e21c3b66279d,user_sends_wallet
user_433046,wallet_ff68566024f8,433046,ff68566024f822165fa881c291f89577,user_sends_wallet
user_441024,wallet_d418b7d45674,441024,d418b7d4567451b1ac83378a60ed2b58,user_sends_wallet
user_462362,wallet_d1de40abbd2c,462362,d1de40abbd2c0ca173b6ad42508e8511,user_sends_wallet
user_485370,wallet_d410716311c5,485370,d410716311c503b32d8d313e82106e7f,user_sends_wallet
user_488830,wallet_c8c62eda103f,488830,c8c62eda103f405508cfa0b9cb6f6487,user_sends_wallet
user_496929,wallet_b50ce74c0a37,496929,b50ce74c0a37c46ec5e26c9e1d871c15,user_sends_wallet
user_500955,wallet_b0409ba1cee2,500955,b0409ba1cee237bdeede5a312af3bd2d,user_sends_wallet
user_508075,wallet_cd8fd38d01ec,508075,cd8fd38d01eca30ccbd6c2925c6184e7,user_sends_wallet
user_523833,wallet_f7866164337b,523833,f7866164337bb9258c9fe7a83664103c,user_sends_wallet
user_550901,wallet_a2b937db4260,550901,a2b937db426004a50d86611bec5af278,user_sends_wallet
user_559796,wallet_af323ccd9de0,559796,af323ccd9de02f4394e99ffe15522561,user_sends_wallet
user_562844,wallet_d1082b83b640,562844,d1082b83b640f5a7ace85fd5174890e3,user_sends_wallet
user_568406,wallet_136deb97b075,568406,136deb97b07570ea2a29df3b9528cf37,user_sends_wallet
user_568865,wallet_0fceac1c5e13,568865,0fceac1c5e13af358d6402988908ba9f,user_sends_wallet
user_579089,wallet_7040100eddf2,579089,7040100eddf27339cd09607094471c70,user_sends_wallet
user_590628,wallet_9ebf6cb741f6,590628,9ebf6cb741f6245c17e7aaf46a1f5e92,user_sends_wallet
user_590941,wallet_142aa1dac2ea,590941,142aa1dac2eaca6cb4ce117250920e1d,user_sends_wallet
user_594741,wallet_e1f9d882ac16,594741,e1f9d882ac16083444b629162dcc7995,user_sends_wallet
user_609452,wallet_f1831ff92d8b,609452,f1831ff92d8b060fcc723e0da24198da,user_sends_wallet
user_611005,wallet_00869a2c6112,611005,00869a2c611246ae68f1ec9c5872345f,user_sends_wallet
user_613255,wallet_6f3fc48e624a,613255,6f3fc48e624a5058eb377c6bd0a1dc65,user_sends_wallet
user_615701,wallet_d4f31cd48616,615701,d4f31cd486163e3f558892284b0fadad,user_sends_wallet
user_618489,wallet_46edc6fa58e6,618489,46edc6fa58e66557b6349b5a3dd235eb,user_sends_wallet
user_620153,wallet_82f29447f1ed,620153,82f29447f1ed196b2269d35876cb8e53,user_sends_wallet
user_626845,wallet_4551cdee6135,626845,4551cdee613550d9fe624fd49903e38f,user_sends_wallet
user_626845,wallet_7c02d2a117e9,626845,7c02d2a117e9b53aa37a1ee974437075,user_sends_wallet
user_630596,wallet_2faa6ec1da37,630596,2faa6ec1da37b633da21f60ac2c3fe62,user_sends_wallet
user_632999,wallet_193dc1357178,632999,193dc1357178ee214af3c45b400570c7,user_sends_wallet
user_641776,wallet_ce00a846ef3f,641776,ce00a846ef3fdd18ff0e1c287688561c,user_sends_wallet
user_642469,wallet_75b15a95f8cc,642469,75b15a95f8cc538a8a183fc54ff2b75b,user_sends_wallet
user_642629,wallet_6804ab67504b,642629,6804ab67504b004d432032a7ba466bd8,user_sends_wallet
user_647046,wallet_006c661e29db,647046,006c661e29db5432d740646471767f08,user_sends_wallet
user_652719,wallet_1c3433777a51,652719,1c3433777a51d0a1f0b7cd63239ae142,user_sends_wallet
user_656086,wallet_7d7a35bdddd5,656086,7d7a35bdddd5f111161864368698766c,user_sends_wallet
user_669743,wallet_e7c4bc885285,669743,e7c4bc885285241c38216f926215dfcb,user_sends_wallet
user_669957,wallet_c9c2d64b9b1c,669957,c9c2d64b9b1c7a638cbcd4a878363411,user_sends_wallet
user_670439,wallet_c5b54af2b896,670439,c5b54af2b89615be0b6df2e956f0cb13,user_sends_wallet
user_672148,wallet_8105c35bc3ac,672148,8105c35bc3acfd5d1203f3dcc56bccfd,user_sends_wallet
user_688086,wallet_7a8127942eb6,688086,7a8127942eb6ea559ca364af55dbf128,user_sends_wallet
user_692388,wallet_2b9e475f51c1,692388,2b9e475f51c15bfc23cf6bc7ae4f5e81,user_sends_wallet
user_695032,wallet_08536a5bec97,695032,08536a5bec97757474dfd6fde46c6c19,user_sends_wallet
user_695032,wallet_3dbc67202cd2,695032,3dbc67202cd2144b441e08eb24896330,user_sends_wallet
user_697077,wallet_2be040cfc7d5,697077,2be040cfc7d53a87cf1f2cf3ea52147e,user_sends_wallet
user_697669,wallet_10bb75b4a1b9,697669,10bb75b4a1b92844f85dba4c4e23d95b,user_sends_wallet
user_706338,wallet_6dd6ef586b8a,706338,6dd6ef586b8afc0b5f98b4926bc515d8,user_sends_wallet
user_708478,wallet_91661e0562ed,708478,91661e0562edef2274e02e6741c4a793,user_sends_wallet
user_728402,wallet_c084ebf9544e,728402,c084ebf9544ee8de79c8798ff3fce8ac,user_sends_wallet
user_737035,wallet_103b2c453bd1,737035,103b2c453bd1dfbe8631f04c09faca9c,user_sends_wallet
user_743831,wallet_9290eec7a1cb,743831,9290eec7a1cb335141a12ce6f4ae0a73,user_sends_wallet
user_748612,wallet_37aabbda4c1a,748612,37aabbda4c1afbe77ecc31fa76e80229,user_sends_wallet
user_776336,wallet_9f6ed419c8cf,776336,9f6ed419c8cf45da67ecf21d9dfcdad0,user_sends_wallet
user_779631,wallet_9f1518739981,779631,9f1518739981cbe43f45f73bba408898,user_sends_wallet
user_779821,wallet_710a88767d64,779821,710a88767d64dd833779c57bd6a738bc,user_sends_wallet
user_779942,wallet_ee005182a0a3,779942,ee005182a0a346918c5aa5d2afb27d51,user_sends_wallet
user_779942,wallet_f1d99b9af079,779942,f1d99b9af0798246e28ccbe95157b6f5,user_sends_wallet
user_781642,wallet_4cfaacb7ffca,781642,4cfaacb7ffca359256b0655161b47161,user_sends_wallet
user_787202,wallet_933547ac253e,787202,933547ac253e54e18b79f33d62e1385c,user_sends_wallet
user_795991,wallet_bd02a900da20,795991,bd02a900da2071811a4a17dfc4aaaa7f,user_sends_wallet
user_801122,wallet_8063370ab980,801122,8063370ab9802b1c40b95c01c65be03b,user_sends_wallet
user_801297,wallet_52d5260122d1,801297,52d5260122d103d9e121a3b4bb40bffa,user_sends_wallet
user_803312,wallet_dc1114abce35,803312,dc1114abce355a7689e719e7cf12e026,user_sends_wallet
user_813207,wallet_c5c2e2d22144,813207,c5c2e2d221446b1389ab6dcf2dc992ba,user_sends_wallet
user_814108,wallet_ef271e552656,814108,ef271e552656eb65ce2827d3d41a8661,user_sends_wallet
user_822032,wallet_2ee39e9fedf0,822032,2ee39e9fedf0eb882a6f9964f78e6a37,user_sends_wallet
user_826664,wallet_a478048d3b11,826664,a478048d3b114bb0c6636f6eabce771d,user_sends_wallet
user_826712,wallet_4560a498e9e1,826712,4560a498e9e126cda7753bac0ec13204,user_sends_wallet
user_898136,wallet_6bdb22a6a12d,898136,6bdb22a6a12d9f2341c7ef41d6b529b8,user_sends_wallet
user_914796,wallet_86c5af1f73ce,914796,86c5af1f73ce10d9d6de323a52feed79,user_sends_wallet
user_935044,wallet_fd4a28c90cb3,935044,fd4a28c90cb3aa7ea6fff7b75e23c1dd,user_sends_wallet
user_943172,wallet_1c02890f5a94,943172,1c02890f5a948a68595eea8f3434080b,user_sends_wallet
user_968271,wallet_b63cdd5b7668,968271,b63cdd5b7668b5bd0b2c90923491679b,user_sends_wallet
user_96357,wallet_3299df600dc7,96357,3299df600dc77402ca8ab57d41d81557,user_sends_wallet
user_96357,wallet_5c8890077d07,96357,5c8890077d07f3cabcfd5a775abf269f,user_sends_wallet
user_96357,wallet_93299c239fe3,96357,93299c239fe3d69c8ea77723e4f5651a,user_sends_wallet
user_96357,wallet_5db32af4a2db,96357,5db32af4a2db3637a5dd115790720c8c,user_sends_wallet
user_96357,wallet_fbf69e1d6c2f,96357,fbf69e1d6c2f9b117dabef01ed1d0293,user_sends_wallet
user_170345,wallet_af74a2f9ad02,170345,af74a2f9ad028970016d082c4ff3c36e,user_sends_wallet
user_485370,wallet_24595f9f3562,485370,24595f9f3562d7e5f67687624301570d,user_sends_wallet
user_971531,wallet_d333c904cdf7,971531,d333c904cdf70efa26977bbb2b3a0937,user_sends_wallet
user_485370,wallet_4b0b764a0403,485370,4b0b764a04030698df71dd2f6ec172ef,user_sends_wallet
user_968632,wallet_fa06ce4f8923,968632,fa06ce4f89237baecb0b4ec2f1bf483b,user_sends_wallet
user_961460,wallet_886b4e2543fd,961460,886b4e2543fd7382e13e0c46ec69d871,user_sends_wallet
user_2241,wallet_34f772697518,2241,34f772697518d72bff57b94296165c5c,user_sends_wallet
user_4108,wallet_94a7020f62bb,4108,94a7020f62bb20173becd87a986d5e33,user_sends_wallet
user_8310,wallet_4c9acbd569c7,8310,4c9acbd569c724596876b48d3dbbff3f,user_sends_wallet
user_21450,wallet_98b09035fb9f,21450,98b09035fb9f833139069505aec3ccc3,user_sends_wallet
user_25059,wallet_7edd7095caf4,25059,7edd7095caf4be3c0105b4a2bc1e1d1a,user_sends_wallet
user_32763,wallet_b666b2ccb4f0,32763,b666b2ccb4f0832ef97d01b7df8a07b0,user_sends_wallet
user_32783,wallet_b0ee0084cad6,32783,b0ee0084cad6dbfe354cfe7e78be25af,user_sends_wallet
user_33963,wallet_aecba80e4188,33963,aecba80e4188fa9e03449bd67c6d0ea2,user_sends_wallet
user_46040,wallet_d23e68caac6a,46040,d23e68caac6ae965e9bf1b27f5a4c45f,user_sends_wallet
user_54801,wallet_9f88a2fed9de,54801,9f88a2fed9de59ed4f7eb6377a3f2fe1,user_sends_wallet
user_65464,wallet_48a1887388f8,65464,48a1887388f85c36d3479be73a1bf8f4,user_sends_wallet
user_70939,wallet_f1583bbf8026,70939,f1583bbf8026b32e4757b7e98c4d12d5,user_sends_wallet
user_72342,wallet_d4d2a18399af,72342,d4d2a18399afb90e638ef11e04dfda8e,user_sends_wallet
user_84826,wallet_4c66a8c2d686,84826,4c66a8c2d686aa9bf6cdf8a5a5c3ff14,user_sends_wallet
user_87885,wallet_b1d4471943df,87885,b1d4471943dfe97d0a938254d972515d,user_sends_wallet
user_96357,wallet_daf0222feef4,96357,daf0222feef483e72184060bb6e3799d,user_sends_wallet
user_96357,wallet_2b40b4ec99f6,96357,2b40b4ec99f64b1bf7ac230c355fdeb5,user_sends_wallet
user_122331,wallet_6d7cedfc10a0,122331,6d7cedfc10a03197926d0475cb8fb923,user_sends_wallet
user_145447,wallet_7e5ffd665a42,145447,7e5ffd665a4293d3cd265de77761b38a,user_sends_wallet
user_148180,wallet_1f8cca304f10,148180,1f8cca304f1089638542192e2f74bbf5,user_sends_wallet
user_160542,wallet_4bde456f2c5d,160542,4bde456f2c5db308ec7505e5f5a5f41e,user_sends_wallet
user_169994,wallet_a2f0af21cde1,169994,a2f0af21cde1c5db3b93aad9ea74ce18,user_sends_wallet
user_170345,wallet_34169ffbd9f8,170345,34169ffbd9f86d2301d1c07f8ef0dbfa,user_sends_wallet
user_194816,wallet_f0fb57b74ebe,194816,f0fb57b74ebeb15f060f86d5c53527e8,user_sends_wallet
user_208529,wallet_de96fab51175,208529,de96fab51175ec59838061dcaf84e229,user_sends_wallet
user_208687,wallet_54878cc754c6,208687,54878cc754c6c0b4726c8662c5aa8d52,user_sends_wallet
user_222264,wallet_b7d629b219f5,222264,b7d629b219f550951e3177f04bdae4b3,user_sends_wallet
user_225070,wallet_a1b71cfea651,225070,a1b71cfea651df46a95b6b1ab6aa5e87,user_sends_wallet
user_235220,wallet_d7db3f644fe5,235220,d7db3f644fe5f19d87a5f2217e35cf13,user_sends_wallet
user_237677,wallet_925039b188db,237677,925039b188dbcbd5c708958724294193,user_sends_wallet
user_260694,wallet_ea8632393d58,260694,ea8632393d583e0c4eaa39dfbb4fbefb,user_sends_wallet
user_262492,wallet_73a5bcaea1d5,262492,73a5bcaea1d5414132b885a01073d35a,user_sends_wallet
user_291599,wallet_bee731da3afd,291599,bee731da3afd84b537ecc1d4c06c89f8,user_sends_wallet
user_329724,wallet_26b24543208c,329724,26b24543208c04a0200b4812df68ee62,user_sends_wallet
user_335320,wallet_2000f3a0643e,335320,2000f3a0643e11f189adc7dedd005039,user_sends_wallet
user_338628,wallet_84343e3ec37a,338628,84343e3ec37ab5a0b7966ebc3def301b,user_sends_wallet
user_359049,wallet_e1569c7b4d81,359049,e1569c7b4d819457786f49abf9316581,user_sends_wallet
user_359049,wallet_ad3619df1aac,359049,ad3619df1aacd9742f709c11d815e681,user_sends_wallet
user_359049,wallet_95b20c133aff,359049,95b20c133affbc89ff57419d53dad85d,user_sends_wallet
user_361936,wallet_7712c7b7e551,361936,7712c7b7e551e3018b626d847e30d33b,user_sends_wallet
user_364037,wallet_c933694f8469,364037,c933694f8469267ab295663e33de1a00,user_sends_wallet
user_364868,wallet_411edab86943,364868,411edab86943c0f8971b34d86a7127cc,user_sends_wallet
user_365708,wallet_ee58eac4f5a3,365708,ee58eac4f5a3bc99a64cd556870b12ac,user_sends_wallet
user_365708,wallet_5a923fdc381f,365708,5a923fdc381fc2e92d7eb63d76058f9f,user_sends_wallet
user_365708,wallet_982348ff10fc,365708,982348ff10fc1f5ab1cd5d187ce0c37b,user_sends_wallet
user_365708,wallet_440da4c613da,365708,440da4c613da822f6fae04802f852ce1,user_sends_wallet
user_368336,wallet_111124afa119,368336,111124afa11953468bc0fb91d86c826a,user_sends_wallet
user_368336,wallet_5c13891660aa,368336,5c13891660aa8cd19da729fa9e8c76dc,user_sends_wallet
user_373111,wallet_6198f1fdf556,373111,6198f1fdf556af32bd1450fc43d88c60,user_sends_wallet
user_382601,wallet_95627b0994b0,382601,95627b0994b07bc98de85c5c35f1507f,user_sends_wallet
user_382625,wallet_d85db1835fb9,382625,d85db1835fb9b3ffa0181c6c0935728b,user_sends_wallet
user_408075,wallet_4f3db224eefb,408075,4f3db224eefb62c072311ac522e4087b,user_sends_wallet
user_408285,wallet_75dcdaacaecc,408285,75dcdaacaeccd1b295bf020fb9811df5,user_sends_wallet
user_423171,wallet_f4492984c6b3,423171,f4492984c6b336cbf8388936eb62fb32,user_sends_wallet
user_424972,wallet_73eaad6b2ab6,424972,73eaad6b2ab68e09077f13af1416dc43,user_sends_wallet
user_429863,wallet_8aa5c60566a2,429863,8aa5c60566a2162d0c9dc201ea490306,user_sends_wallet
user_431680,wallet_e7518949b1c1,431680,e7518949b1c171c8d6c103fa0e52343c,user_sends_wallet
user_441024,wallet_f26e5d1fe6d7,441024,f26e5d1fe6d773ce63952fcc3c127066,user_sends_wallet
