source,target,source_raw,target_raw,edge_type
user_10023,wallet_0000000000000000000000000001994e,10023,0000000000000000000000000001994e,user_sends_wallet
user_21024,wallet_0000000000000000000000000001994f,21024,0000000000000000000000000001994f,user_sends_wallet
user_62984,wallet_00000000000000000000000000019950,62984,00000000000000000000000000019950,user_sends_wallet
user_84826,wallet_00000000000000000000000000019951,84826,00000000000000000000000000019951,user_sends_wallet
user_96357,wallet_00000000000000000000000000019953,96357,00000000000000000000000000019953,user_sends_wallet
user_96357,wallet_00000000000000000000000000019954,96357,00000000000000000000000000019954,user_sends_wallet
user_127069,wallet_00000000000000000000000000019955,127069,00000000000000000000000000019955,user_sends_wallet
user_127100,wallet_00000000000000000000000000019956,127100,00000000000000000000000000019956,user_sends_wallet
user_136706,wallet_00000000000000000000000000019957,136706,00000000000000000000000000019957,user_sends_wallet
user_131920,wallet_00000000000000000000000000019958,131920,00000000000000000000000000019958,user_sends_wallet
user_141509,wallet_00000000000000000000000000019959,141509,00000000000000000000000000019959,user_sends_wallet
user_141573,wallet_0000000000000000000000000001995b,141573,0000000000000000000000000001995b,user_sends_wallet
user_136906,wallet_0000000000000000000000000001995d,136906,0000000000000000000000000001995d,user_sends_wallet
user_118071,wallet_0000000000000000000000000001995e,118071,0000000000000000000000000001995e,user_sends_wallet
user_127491,wallet_00000000000000000000000000019960,127491,00000000000000000000000000019960,user_sends_wallet
user_113469,wallet_00000000000000000000000000019961,113469,00000000000000000000000000019961,user_sends_wallet
user_151458,wallet_00000000000000000000000000019962,151458,00000000000000000000000000019962,user_sends_wallet
user_137353,wallet_00000000000000000000000000019964,137353,00000000000000000000000000019964,user_sends_wallet
user_156453,wallet_00000000000000000000000000019965,156453,00000000000000000000000000019965,user_sends_wallet
user_146979,wallet_00000000000000000000000000019966,146979,00000000000000000000000000019966,user_sends_wallet
user_137440,wallet_00000000000000000000000000019968,137440,00000000000000000000000000019968,user_sends_wallet
user_113836,wallet_00000000000000000000000000019969,113836,00000000000000000000000000019969,user_sends_wallet
user_132772,wallet_0000000000000000000000000001996b,132772,0000000000000000000000000001996b,user_sends_wallet
user_151962,wallet_0000000000000000000000000001996c,151962,0000000000000000000000000001996c,user_sends_wallet
user_132898,wallet_0000000000000000000000000001996f,132898,0000000000000000000000000001996f,user_sends_wallet
user_137743,wallet_00000000000000000000000000019971,137743,00000000000000000000000000019971,user_sends_wallet
user_137767,wallet_00000000000000000000000000019972,137767,00000000000000000000000000019972,user_sends_wallet
user_137791,wallet_00000000000000000000000000019973,137791,00000000000000000000000000019973,user_sends_wallet
user_142597,wallet_00000000000000000000000000019974,142597,00000000000000000000000000019974,user_sends_wallet
user_142724,wallet_00000000000000000000000000019976,142724,00000000000000000000000000019976,user_sends_wallet
user_142761,wallet_00000000000000000000000000019978,142761,00000000000000000000000000019978,user_sends_wallet
user_147561,wallet_00000000000000000000000000019979,147561,00000000000000000000000000019979,user_sends_wallet
user_142807,wallet_0000000000000000000000000001997a,142807,0000000000000000000000000001997a,user_sends_wallet
user_157078,wallet_0000000000000000000000000001997b,157078,0000000000000000000000000001997b,user_sends_wallet
user_123879,wallet_0000000000000000000000000001997c,123879,0000000000000000000000000001997c,user_sends_wallet
user_152461,wallet_0000000000000000000000000001997e,152461,0000000000000000000000000001997e,user_sends_wallet
user_119280,wallet_0000000000000000000000000001997f,119280,0000000000000000000000000001997f,user_sends_wallet
user_119305,wallet_00000000000000000000000000019980,119305,00000000000000000000000000019980,user_sends_wallet
user_143054,wallet_00000000000000000000000000019981,143054,00000000000000000000000000019981,user_sends_wallet
user_157364,wallet_00000000000000000000000000019983,157364,00000000000000000000000000019983,user_sends_wallet
user_133525,wallet_00000000000000000000000000019984,133525,00000000000000000000000000019984,user_sends_wallet
user_152606,wallet_00000000000000000000000000019985,152606,00000000000000000000000000019985,user_sends_wallet
user_138348,wallet_00000000000000000000000000019986,138348,00000000000000000000000000019986,user_sends_wallet
user_143096,wallet_00000000000000000000000000019987,143096,00000000000000000000000000019987,user_sends_wallet
user_157467,wallet_00000000000000000000000000019988,157467,00000000000000000000000000019988,user_sends_wallet
user_157467,wallet_00000000000000000000000000019989,157467,00000000000000000000000000019989,user_sends_wallet
user_143168,wallet_0000000000000000000000000001998a,143168,0000000000000000000000000001998a,user_sends_wallet
user_157513,wallet_0000000000000000000000000001998b,157513,0000000000000000000000000001998b,user_sends_wallet
user_124230,wallet_0000000000000000000000000001998d,124230,0000000000000000000000000001998d,user_sends_wallet
user_124234,wallet_0000000000000000000000000001998e,124234,0000000000000000000000000001998e,user_sends_wallet
user_152773,wallet_0000000000000000000000000001998f,152773,0000000000000000000000000001998f,user_sends_wallet
user_138515,wallet_00000000000000000000000000019990,138515,00000000000000000000000000019990,user_sends_wallet
user_114854,wallet_00000000000000000000000000019991,114854,00000000000000000000000000019991,user_sends_wallet
user_119657,wallet_00000000000000000000000000019992,119657,00000000000000000000000000019992,user_sends_wallet
user_129027,wallet_00000000000000000000000000019993,129027,00000000000000000000000000019993,user_sends_wallet
user_129029,wallet_00000000000000000000000000019994,129029,00000000000000000000000000019994,user_sends_wallet
