排名,feature,中文名稱,SHAP值,SHAP均值,方向,佔比,頻率次數,累積%
1,neighbor_tox_mean,neighbor_tox_mean,0.5459864593975905,-0.13124009385542168,-,11.59%,83,11.59%
2,w_tox_mean,w_tox_mean,0.4412792304819277,0.00964796855421685,+,9.36%,83,20.95%
3,w_tox_max,w_tox_max,0.2170683610385542,-0.03886733143132531,-,4.61%,83,25.56%
4,swap_sum,swap_sum,0.17824984187228912,0.01903772471566265,+,3.78%,83,29.34%
5,tx_interval_median,tx_interval_median,0.16877795908433735,-0.05614047638554217,-,3.58%,83,32.92%
6,weekend_tx_ratio,weekend_tx_ratio,0.15230986654216866,-0.03967503480722892,-,3.23%,83,36.15%
7,twd_net_flow,twd_net_flow,0.14799518555180724,-0.010149110033734938,-,3.14%,83,39.29%
8,if_score,if_score,0.11893794863734941,-0.02609532303253011,-,2.52%,83,41.82%
9,twd_to_crypto_out_ratio,twd_to_crypto_out_ratio,0.11847801118554216,-0.026360067619277106,-,2.51%,83,44.33%
10,crypto_dep_max,crypto_dep_max,0.11739054119879518,-0.016819849524096386,-,2.49%,83,46.82%
