排名,feature,中文名稱,SHAP值,SHAP均值,方向,佔比,頻率次數,累積%
1,neighbor_tox_mean,neighbor_tox_mean,0.6089845863157894,0.43981787578947373,+,13.85%,19,13.85%
2,w_tox_mean,w_tox_mean,0.43914710631578946,0.3691149989473685,+,9.99%,19,23.84%
3,w_tox_max,w_tox_max,0.2975669785263158,0.28867562,+,6.77%,19,30.61%
4,swap_sum,swap_sum,0.23525546015789472,0.19639855563157899,+,5.35%,19,35.96%
5,twd_to_crypto_out_ratio,twd_to_crypto_out_ratio,0.12194715584210526,0.048051689421052625,+,2.77%,19,38.73%
6,twd_dep_sum,twd_dep_sum,0.11895429763157894,0.07726378952631578,+,2.71%,19,41.44%
7,tx_interval_median,tx_interval_median,0.11267405542105263,0.07135086384210526,+,2.56%,19,44.00%
8,weekend_tx_ratio,weekend_tx_ratio,0.11141177782105265,-0.012192914600000002,-,2.53%,19,46.54%
9,reg_hour,reg_hour,0.10864405550157895,-0.07571884136473683,-,2.47%,19,49.01%
10,crypto_dep_max,crypto_dep_max,0.10752917263157893,0.06207768157894737,+,2.45%,19,51.45%
