排名,feature,中文名稱,SHAP值,佔比,頻率次數,累積%
1,w_tox_max,w_tox_max,1.572768,25.58%,44214,25.58%
2,w_tox_mean,w_tox_mean,0.557408,9.06%,42270,34.64%
3,neighbor_tox_mean,neighbor_tox_mean,0.524083,8.52%,50588,43.16%
4,tx_interval_median,tx_interval_median,0.182202,2.96%,34755,46.12%
5,twd_net_flow,法幣淨流入金額,0.17703,2.88%,32421,49.00%
6,weekend_tx_ratio,週末交易佔比,0.16829,2.74%,24681,51.74%
7,if_score,if_score,0.149464,2.43%,26887,54.17%
8,career_freq,career_freq,0.143145,2.33%,20430,56.50%
9,account_age_days,帳號年齡（天）,0.136073,2.21%,24613,58.71%
10,w_tox_std,w_tox_std,0.133034,2.16%,12803,60.87%
11,swap_sum,一鍵買賣總額,0.131128,2.13%,19647,63.01%
12,hbos_score,hbos_score,0.103301,1.68%,13880,64.69%
13,neighbor_tox_max,neighbor_tox_max,0.098252,1.60%,16976,66.28%
14,kyc_speed_sec,KYC 完成速度（秒）,0.097852,1.59%,16223,67.88%
15,reg_hour,reg_hour,0.097467,1.58%,9462,69.46%
16,crypto_dep_max,crypto_dep_max,0.094655,1.54%,10918,71.00%
17,twd_dep_sum,法幣入金總額,0.084555,1.37%,12886,72.37%
18,twd_to_crypto_out_ratio,法幣入金/幣出比,0.084103,1.37%,13367,73.74%
19,lof_score,lof_score,0.076251,1.24%,8555,74.98%
20,crypto_dep_mean,crypto_dep_mean,0.075838,1.23%,7289,76.21%
