排名,feature,中文名稱,SHAP值,佔比,頻率次數,累積%
1,w_tox_max,w_tox_max,2.07635,33.25%,1362,33.25%
2,neighbor_tox_mean,neighbor_tox_mean,0.698697,11.19%,1590,44.44%
3,w_tox_mean,w_tox_mean,0.471536,7.55%,1572,51.99%
4,w_tox_std,w_tox_std,0.194686,3.12%,757,55.11%
5,swap_sum,一鍵買賣總額,0.183478,2.94%,865,58.05%
6,tx_interval_median,tx_interval_median,0.130986,2.10%,929,60.15%
7,twd_to_crypto_out_ratio,法幣入金/幣出比,0.109366,1.75%,640,61.90%
8,twd_dep_sum,法幣入金總額,0.107773,1.73%,926,63.62%
9,if_score,if_score,0.104559,1.67%,713,65.30%
10,weekend_tx_ratio,週末交易佔比,0.098894,1.58%,501,66.88%
11,twd_net_flow,法幣淨流入金額,0.096366,1.54%,583,68.43%
12,crypto_dep_max,crypto_dep_max,0.091834,1.47%,437,69.90%
13,neighbor_tox_max,neighbor_tox_max,0.089996,1.44%,689,71.34%
14,account_age_days,帳號年齡（天）,0.086257,1.38%,524,72.72%
15,crypto_wit_sum,虛幣提領總額（台幣）,0.085226,1.36%,538,74.08%
16,career_freq,career_freq,0.084497,1.35%,466,75.44%
17,hbos_score,hbos_score,0.079342,1.27%,353,76.71%
18,kyc_speed_sec,KYC 完成速度（秒）,0.079216,1.27%,448,77.98%
19,crypto_dep_mean,crypto_dep_mean,0.072329,1.16%,237,79.14%
20,reg_hour,reg_hour,0.06564,1.05%,211,80.19%
