user_id,kyc_speed_sec,account_age_days,is_high_risk_career,is_high_risk_income,career_income_risk,career_freq,is_app_user,reg_hour,reg_is_night,reg_is_weekend,reg_to_kyc1_days,twd_dep_count,twd_dep_sum,twd_dep_mean,twd_dep_std,twd_dep_max,twd_wit_count,twd_wit_std,twd_wit_max,twd_net_flow,twd_withdraw_ratio,twd_smurf_flag,twd_wit_ip_ratio,crypto_dep_count,crypto_dep_mean,crypto_dep_max,crypto_wit_count,crypto_wit_sum,crypto_wit_mean,crypto_wit_max,crypto_currency_diversity,crypto_protocol_diversity,crypto_wallet_hash_nunique,crypto_internal_count,crypto_internal_peer_count,crypto_wit_ip_ratio,trading_mean,trading_max,trading_buy_ratio,trading_market_order_ratio,swap_count,swap_sum,ip_unique_count,ip_night_ratio,ip_max_shared,fund_stay_sec,pagerank_score,connected_component_size,total_tx_count,first_to_last_tx_days,weekend_tx_ratio,dep_to_first_wit_hours,twd_to_crypto_out_ratio,tx_amount_cv,rapid_kyc_then_trade,crypto_out_in_ratio,same_day_in_out_count,tx_interval_mean,tx_interval_std,tx_interval_min,tx_interval_median,amount_p90_p10_ratio,active_days,w_tox_max,w_tox_mean,w_tox_std,toxic_w_ratio,toxic_w_count,ip_tox_max,relation_blacklist_ratio,relation_blacklist_count,neighbor_tox_mean,neighbor_tox_max,toxic_neighbor_count,n_neighbors,if_score,hbos_score,lof_score
56,-0.2995268,,0.24226174,,,,,,,,,,,,,,,,,0.1851904,,,,,,,,,,,,,,,,,,,,,,-0.16800198,,,,,,,,,0.20931518,,,,,,,,,-0.1907973,-0.43340552,,,,-0.37215343,,,,,,,-0.54693174,,,,0.25952768,,
189,,,0.15638229,,,,-0.09865318,,,,,,,,,,,,-0.13549912,,,,,,,,,,,,,,,,,,,,,,,-0.19110599,,,,,,,,,0.22077388,,,,,,,,,,0.09852548,,,-0.1457406,-0.3789413,,,,,,,-0.59484965,,,,0.14057067,,
212,,-0.19788562,,,,0.1724454,,,,,,,,,,,,,0.16937222,0.2563893,,,,,,,,,,,,,,,,,,,,,,-0.23504908,,,,,,,,,-0.5975976,,,,,,,,,-0.19047341,0.13527651,,,,-0.3121202,,,,,,,-0.48454964,,,,,,
354,,-0.20212576,,,,,,-0.1305119,,,,,,,,,,,-0.1232421,-0.42526108,,,,,,,,,,,,,,,,,,,,,,-0.23095569,,,,,,,,,-0.60940355,,,,,,,,,,-0.12207736,,,-0.251232,-0.6869216,,,,,,,-0.6801309,,,,,,
403,,,,,,0.125358,,,,,,,,,,,,,,-0.3293998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12947011,,,,,,,,,,-0.23638023,,,-0.21728027,-1.4985483,,,,,,,-0.60827214,-0.14249907,,,-0.12347383,-0.26528686,
816,,,,,,,,,,,,,,,,,,,-0.10096625,-0.30352738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11599829,,-0.14262451,,,,,,-0.1875743,,,,,-0.18308817,-1.4084033,,,,,,,-0.60229814,-0.1442112,,,-0.19273415,,
1296,,-0.20227958,,,,-0.34590697,,,,,,,,,,,,,,-0.30454922,,,,,,,,,,,,,,,,,,,,,,-0.15658373,,,,,,,,,-0.35263628,,-0.11095906,,,,,,,,,,,-0.17329244,-0.09934371,,,,,,,-0.34085917,-0.22421487,,,,,
1320,-0.25446898,-0.28695068,,,,-0.48473877,,,,,,,,,,,,,,0.19814965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5863007,,,,,,,,,-0.21337533,-0.31843182,,,-0.21093743,-0.53290474,,,,,,,-0.6186649,,,,,,
1527,,,,,,-0.32973123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.20034485,,0.17997082,,,,,-0.12957376,,,,,,,,,,-0.42584696,,,-1.5327206,-0.36252952,,,,,,,-0.47923845,,,,0.14318551,0.12595537,
1572,,-0.18694718,,,,,,,,,,,,,,,,,,0.20980193,,,,,,,,,,,,,,,,,,,,,,-0.24210283,,,,,,,,-0.28743497,0.16322008,,,,,,,-0.45820245,,-0.22731717,-0.511114,,,,-0.31197694,,,,,,,-0.58267474,,,,,,
1606,,-0.11727653,,,,,,-0.41885313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21889366,,-0.10914276,,,,,,,,,0.13326083,,-0.112298094,,,,,,,,-0.39612243,,,,-0.19498612,,,,,,,-0.39351022,-0.163488,,,,,
1621,0.16140155,,,,,,,-0.5604374,,,,,,,,,,,,0.19445415,,,,,,,,,,,,,,,,,,,0.16738448,,,,,,,,,,,,-0.34363425,,0.23473166,,,,,,-0.15755372,,0.28063667,,,,-0.7817463,,,,,,,-0.5189541,,,,,,
1736,,,,,,,,,,,,,,,,,-0.1741228,,0.18248788,,,,,,-0.33827266,-0.29585525,,,,,,,,,,,,,,,,,,,,,,,,-0.20191458,,,,,,,,,,,,,,0.45877257,0.16703995,0.3118683,,,,,,-0.5702385,,,,,0.13124917,
1931,,,,,,,,,,,,,,,,,,,0.12050927,-0.12490665,,,,,,-0.22415997,,,,,,,,,,,,,,,,,,,,0.15504399,,,,,-0.26827705,,-0.118305765,,,,,,-0.1344311,,0.22245525,,,-4.0970106,,,,,,,,-0.17488496,,,,,,
2022,,-0.16512728,,,,,-0.12096971,-0.21305312,,,,,,,,,,,,0.2862702,,,,,,,,,,,,,,,,,,,,,,-0.2279356,,,,,,,,,0.23049274,,,,,,,,,,0.13374074,,,,-0.17655723,,,,,,,-0.5110185,,,,0.12174965,,
2056,,,,,,,,,,,,,,,,,,,-0.12807293,-0.27100685,,,,,,,,,,,,,,,,,,,,,,,,-0.19218047,,,,,,,0.11536283,,,,,,,,,,0.1470532,,,-0.20840271,-1.5601981,,,,,,,-0.6606924,-0.1680493,,,-0.17733373,,
2111,-0.1589925,-0.14268787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23873301,,-0.076948784,,,,,,,-0.07175608,,,,,,,,,,-0.21701092,,,-4.343155,,0.062327884,,,,,,-0.26817682,,,-0.0882015,,,
2210,0.17622364,,,,,,,-0.48638082,,,,,,,,,,,,0.16027702,,,,,-0.17140049,-0.14991486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22424202,,,-0.14906771,-0.84218633,,,,,,,-0.49352756,-0.17414114,,,,,
2228,,,,,,,,-0.5379528,,,,,,,,,,,,-0.26652807,,,,,-0.21885179,,,,,,,,,,,,,,,,,,,-0.23365399,,,,,,,,,,,,,,,-0.17329098,,-0.35069007,,,-0.24176751,-0.89243567,,,,,,,-0.68251073,,,,0.20176324,,
2241,,-0.23955356,,,,-0.34061605,,-0.40372968,,,,,,,,,,,,-0.25809523,,,,,,,,,,,,,,,,,,,,,,-0.18679166,,-0.17315133,,,,,,,-0.26311743,,,,,,,,,,,,,-0.2279964,0.37449676,,,,,,,-0.7502525,,,,,,
2343,,,,,,-0.14917725,,,,,,,,,,,,,,-0.094139464,,,,,,,,0.117246166,,,,,,,,,,,,,,,,,,,,,,,-0.13963254,,0.22875203,,,,,,,,0.0984901,,,-4.354491,-0.09040581,0.13218842,,,,,,-0.26046726,,,,,,
