user_id,kyc_speed_sec,account_age_days,is_high_risk_career,is_high_risk_income,career_income_risk,career_freq,is_app_user,reg_hour,reg_is_night,reg_is_weekend,reg_to_kyc1_days,twd_dep_count,twd_dep_sum,twd_dep_mean,twd_dep_std,twd_dep_max,twd_wit_count,twd_wit_std,twd_wit_max,twd_net_flow,twd_withdraw_ratio,twd_smurf_flag,twd_wit_ip_ratio,crypto_dep_count,crypto_dep_mean,crypto_dep_max,crypto_wit_count,crypto_wit_sum,crypto_wit_mean,crypto_wit_max,crypto_currency_diversity,crypto_protocol_diversity,crypto_wallet_hash_nunique,crypto_internal_count,crypto_internal_peer_count,crypto_wit_ip_ratio,trading_mean,trading_max,trading_buy_ratio,trading_market_order_ratio,swap_count,swap_sum,ip_unique_count,ip_night_ratio,ip_max_shared,fund_stay_sec,pagerank_score,connected_component_size,total_tx_count,first_to_last_tx_days,weekend_tx_ratio,dep_to_first_wit_hours,twd_to_crypto_out_ratio,tx_amount_cv,rapid_kyc_then_trade,crypto_out_in_ratio,same_day_in_out_count,tx_interval_mean,tx_interval_std,tx_interval_min,tx_interval_median,amount_p90_p10_ratio,active_days,w_tox_max,w_tox_mean,w_tox_std,toxic_w_ratio,toxic_w_count,ip_tox_max,relation_blacklist_ratio,relation_blacklist_count,neighbor_tox_mean,neighbor_tox_max,toxic_neighbor_count,n_neighbors,if_score,hbos_score,lof_score
6317,0.10520768,0.0629575,-0.029061653,0.007236863,-0.0018615635,0.29768187,-0.04541924,0.11410951,0.008275844,-0.059664145,-7.7021716e-05,0.013220853,-0.008306732,0.0034884848,0.0016144321,0.0059998212,0.0019222033,0.005155439,0.13221608,0.2100628,0.008538534,0.0,-0.0067979996,-0.03243024,0.08674153,0.11745319,-0.0041395067,-0.032809198,-0.012495311,-0.016874863,0.0046998207,0.006067994,-7.2654555e-05,0.0004114988,-0.001017978,0.00050885865,0.003970415,-0.08696984,-0.03492413,-0.023543319,-0.027802495,-0.14611919,0.0019711351,0.035491347,-0.011610706,-0.041618377,-0.0004860863,-0.0019112827,-0.010071983,0.027546357,0.18774468,-0.0033119803,-0.10764144,0.0076656253,0.0,-0.001750804,-0.0031151844,0.04839038,0.071589686,-0.03274043,-0.31319898,0.01995808,-0.014090212,-0.09598773,-0.23813385,-0.0056477264,-0.0154481465,-0.0076687154,-0.043968834,-0.00040456644,-0.00012580176,-0.49108922,0.0048614284,0.014273257,0.07251847,0.15074638,0.06564566,0.051073622
20323,0.06769204,-0.038632,-0.049430154,-0.004035739,-0.0049672574,-0.02636135,-0.052012272,-0.049807534,0.005198239,0.038276967,-2.309512e-05,-0.07512776,0.052424297,0.0152648315,-0.050920174,0.0068095718,0.017982025,0.0031576701,0.21674852,-0.16210474,-0.09420098,0.0,0.003096145,0.012544399,0.021760687,0.055601638,-0.013999867,-0.008118784,-0.02629284,0.020878207,-0.010258106,0.0010900225,-0.025986323,8.259497e-05,-0.0011967801,-0.0009974684,-0.05989586,-0.023667537,0.02763937,-0.03495775,-0.02832466,-0.10995815,-0.035685938,0.057636216,0.002146772,0.13423331,-0.00041806497,-0.0024302735,0.021075917,-0.20183334,-0.12184376,-0.20192744,0.29741517,-0.07040583,0.0,-0.013340129,-0.013275157,-0.032681234,-0.14071934,-0.039022695,0.19340871,-0.02502879,0.032758906,-0.15843605,-0.3559801,-0.03683125,-0.041970517,-0.012393075,-0.011978996,-0.0005737634,-6.173732e-05,-0.53043455,-0.13233538,-0.024098424,-0.040351465,0.16200651,0.17878859,-0.100202836
23039,0.14125265,0.047571562,-0.012296133,0.009156434,-0.0015809409,0.27199847,-0.054658204,0.060530946,0.006934282,-0.05127123,-0.00038323156,-0.002832221,-0.03414319,-0.019420998,-0.006183399,-0.0006031675,0.022887621,0.0011326208,0.2781159,0.23048708,0.080861986,0.0,0.002385117,0.0047185165,-0.09626558,-0.067730546,-0.004806022,-0.03900311,-0.0179957,-0.027561303,-0.003946262,-0.003576646,0.011899754,0.00020197101,-0.0011773623,0.00053652324,0.16057959,0.032878354,-0.08078877,0.2774739,-0.02360781,-0.07039633,0.011840061,0.04187061,-0.0212977,-0.046711273,-0.00038829647,-0.002313101,-0.04114241,0.014173618,0.11180818,-0.000115738214,-0.101474054,0.010085509,0.0,0.008712111,-0.0047295257,0.0071204486,0.056622922,0.1309117,0.3647022,0.009714352,-0.020375777,-0.077883065,-0.2866854,0.031659238,-0.02039821,-0.009153625,-0.018776301,-0.00044153834,-0.00013635865,-0.37626183,-0.15195255,-0.08261546,-0.104665816,0.14646587,0.0066464436,0.029352773
28555,-0.0004318714,0.0075734905,-0.024411907,0.0064297672,-0.0015560624,-0.02382,-0.05376967,-0.23546962,-0.045066826,-0.032668438,-9.3782e-05,-0.007972545,-0.045877963,0.058175657,0.0031252988,-0.008264102,-0.0972374,-0.015264288,0.13255419,0.056723617,0.023163099,0.0,-4.5619352e-05,0.059301797,-0.054906078,-0.18790555,0.017780272,-0.024058033,-0.008501209,-0.030011328,0.00019621277,-0.013006078,-0.014995611,-0.0005809555,-0.0015752672,-0.0007698993,-0.038994107,-0.012069196,0.13713843,-0.019959766,-0.012502888,-0.060053296,-0.08210429,0.0141988015,0.008446248,0.18242103,-0.002241255,-0.0032346395,0.055085625,-0.02107704,0.027166221,0.015465536,-0.11251792,0.0154574765,0.0,-0.0098343715,0.02383698,-0.06845834,-0.04363554,-0.05186328,0.21905865,-0.04084054,0.07630741,3.6214075,0.31073958,0.045979045,-0.015204614,0.007266708,-0.011198606,-0.00035652486,-7.012347e-05,-0.2806613,0.06737775,0.061586566,0.049362432,0.15326975,0.16077451,-0.021924332
41613,0.09830739,0.17387304,0.2868545,-0.020352125,0.099703535,0.049503732,-0.03998823,0.11743038,0.0064002723,-0.024271093,-6.2483778e-06,-0.039986044,0.07214445,0.019342514,-0.015834212,0.018668223,0.0025851105,0.0045383107,-0.051285237,-0.07290614,-0.016302979,0.0,-0.00010144883,0.07261229,0.0026714217,-0.0605212,-0.005251337,-0.029685555,-0.026059696,-0.01618,0.0050906185,0.00015577994,-0.023982683,2.4757515e-05,-0.0010977162,-0.0010061922,0.04957285,-0.05754734,0.044242777,-0.02967108,-0.026028374,-0.09289312,-0.018733565,0.055498675,0.0041477066,-0.055165384,0.0001809766,-0.002412159,0.0951462,-0.039773066,0.094604485,0.0055374354,0.4010404,-0.052656814,0.0,-0.002642268,0.0521994,0.047634155,-0.039981283,0.04362675,0.17939413,-0.03392472,0.1299003,-0.06679543,-0.14705415,-0.00089669053,-0.034170654,-0.014379183,-0.013847769,-0.00051738427,-0.00011791601,-0.44427106,-0.097250275,-0.007303028,0.007795649,0.27990615,0.2579958,0.055140804
42029,0.14995486,0.11580863,0.3096118,-0.068106405,0.10594038,0.07898984,-0.036077116,0.061313752,0.0063916147,-0.02765529,9.3689596e-07,-0.030481495,0.037943553,0.025029572,0.108459935,0.0075368495,0.0017807411,0.002182882,-0.05271201,-0.13063179,-0.008507147,0.0,0.00020722023,-0.03139447,0.056304958,0.07210681,-0.015220652,0.003185853,0.03155271,0.0013142112,0.0041576806,-0.0002832498,0.0038211355,4.2901862e-05,-0.0006286818,-0.001029199,0.05773364,0.06263928,0.0518877,0.34113893,-0.013162209,-0.058327414,-0.01280075,0.039316893,0.0013963039,-0.046617616,3.641536e-05,-0.0024460761,0.007061113,0.033280097,0.167799,-0.0021755055,0.453461,0.03502866,0.0,-0.008151427,-0.009701978,-0.014186848,0.011720236,0.047901552,-0.07858949,0.00068417116,-0.01883667,-0.10113101,-0.21695074,0.017022775,-0.027751874,-0.013466347,-0.013506068,-0.00060084596,-0.00013433468,-0.52076983,-0.11913386,-0.014555161,-0.034568574,0.14938235,-0.0011491744,0.017509589
74015,0.031622488,0.032590803,-0.015463598,-0.09211052,-0.0010350383,-0.17903928,-0.03466178,-0.0038708674,0.0023008953,-0.043028727,-0.000318784,-0.0046524475,-0.07861228,-0.08085089,-0.00082037714,-0.03016299,0.0031917593,0.004765208,0.24280897,0.056535788,-0.04829031,0.0,0.00034946544,6.81073e-05,-0.20868024,-0.14145726,-0.012377199,-0.0615087,-0.05109335,-0.039663855,-0.0049740784,0.000490639,-0.018608794,-0.0009095003,-0.0016849618,0.00045863044,0.11010717,0.14670223,-0.03381866,0.11843317,-0.0002981432,-0.03099199,0.020613445,0.041919682,-0.014798871,-0.026597075,-0.0014258168,-0.0034752935,-0.11184834,0.011536627,0.078015216,0.028359072,-0.112108305,-0.0070926473,0.0,0.0123860845,-0.0060128635,0.1153251,-0.027210008,0.0027742733,0.25661662,-0.028620128,-0.030213825,0.25208429,0.22332945,0.18181153,-0.011143929,0.00063710037,-0.012901672,-0.00066335814,-0.000121310295,0.86396414,-0.08606539,-0.039510995,0.024321193,0.15264024,0.1660768,0.0097659435
95398,-0.016711107,0.025136353,-0.016848376,0.006901996,-0.00093326735,-0.06013508,0.009454062,0.007111329,0.0026236717,-0.030949749,-0.00043133317,-0.015688516,-0.13939652,-0.13625488,0.00170982,-0.05169141,-0.13141245,-0.029336333,0.16390896,0.017707359,-0.049248267,0.0,3.3655175e-05,-0.000444706,-0.18469246,-0.104641706,-0.031943,0.26137373,0.010671543,0.06642866,-0.0035184035,0.0002561765,-0.035270847,-0.0034748225,-0.0036748855,-0.0013942635,0.053402938,-0.006621183,0.0803248,-0.01361448,-0.010213647,-0.032548316,-0.013952514,0.050726216,-0.009891491,-0.024145732,-0.0037273646,-0.0045159105,0.058679905,-0.017084964,0.024146572,-0.02821412,-0.120422155,0.077833526,0.0,0.027592208,0.004400424,0.01909559,0.00078435993,0.04677912,0.13635212,-0.0376934,0.060661353,0.5070179,0.2784691,0.032998256,0.010326148,0.028036114,-0.012017768,-0.00067561126,-0.00012311904,0.4312937,0.060396932,0.050413452,-0.06822641,0.15295453,0.12893109,0.005444022
99682,0.07490069,0.02580326,-0.016900342,0.010477942,-0.0013960936,-0.0046915044,0.014546597,0.01292621,0.0069565955,-0.04269193,-8.2027895e-05,0.0050545246,-0.02375547,-0.0010638953,-0.0014622748,0.007421772,-0.026201338,-0.0077142417,0.26549247,0.23221296,0.1137552,0.0,-0.0002172278,0.07998009,-0.044546604,-0.10577784,-0.0010844287,-0.008789306,-0.0024846082,-0.013741835,-0.0016367019,-0.0034380364,-0.02133291,7.846007e-05,-0.001013633,0.001268353,0.13943973,0.11339882,0.32207152,-0.026047988,-0.016982011,-0.06026901,-0.018654503,-0.07227988,-0.011558144,-0.034577996,-0.0010186777,-0.0024637007,0.05408994,-0.05369214,0.13754535,0.014238494,-0.105299704,-0.048845515,0.0,0.021776576,-0.006565869,0.15247864,0.014130931,0.046205692,0.35138538,-0.033624217,0.087009184,-0.13474819,-0.24991658,0.023975598,-0.019004516,-0.010030707,-0.016272081,-0.00040867992,-9.563578e-05,-0.3805684,-0.09785843,-0.06265071,-0.034143005,0.15923126,0.13069174,0.09306172
100622,0.12896012,0.006226099,0.18886003,-0.086571746,0.03379921,0.030298173,-0.057438847,-2.4562993e-05,0.004206029,-0.021714007,-1.5214977e-05,0.013132344,0.10925348,0.06318914,0.03889702,0.011546136,-0.12597418,-0.044533264,0.07387802,-0.03559312,-0.05627165,0.0,-0.00030066274,0.034844417,0.012244733,-0.065347716,0.020630792,0.04752195,-0.022162596,-0.022589462,-0.007943377,-0.019412134,-0.023840887,-0.0010585276,-0.0013507386,-0.0009974684,-0.006138915,-0.018198008,0.058326427,-0.030275382,-0.015235469,-0.059789035,-0.079530165,0.0628622,0.00484224,0.10522142,-0.00034939288,-0.0028653243,0.07161717,-0.07192457,0.08779035,0.02557143,-0.116043545,-0.060383808,0.0,-0.04151416,0.04573601,-0.044898164,-0.044142876,0.039720833,-0.07507807,-0.06293599,0.08470727,1.5938456,0.39696598,0.0062889517,-0.041096583,-0.017131252,-0.010677361,-0.0004422027,-0.00011530883,-0.34116957,0.076752335,-0.019978072,-0.030492479,0.1704373,0.14936991,-0.017974332
