source,target,source_raw,target_raw,edge_type
user_U01641,wallet_W00001,U01641,W00001,user_sends_wallet
user_U01642,wallet_W00002,U01642,W00002,user_sends_wallet
user_U01643,wallet_W00003,U01643,W00003,user_sends_wallet
user_U01644,wallet_W00004,U01644,W00004,user_sends_wallet
user_U01645,wallet_W00005,U01645,W00005,user_sends_wallet
user_U01645,wallet_W00006,U01645,W00006,user_sends_wallet
user_U01646,wallet_W00007,U01646,W00007,user_sends_wallet
user_U01647,wallet_W00008,U01647,W00008,user_sends_wallet
user_U01648,wallet_W00009,U01648,W00009,user_sends_wallet
user_U01649,wallet_W00010,U01649,W00010,user_sends_wallet
user_U01650,wallet_W00011,U01650,W00011,user_sends_wallet
user_U01651,wallet_W00012,U01651,W00012,user_sends_wallet
user_U01652,wallet_W00013,U01652,W00013,user_sends_wallet
user_U01653,wallet_W00014,U01653,W00014,user_sends_wallet
user_U01654,wallet_W00015,U01654,W00015,user_sends_wallet
user_U01655,wallet_W00016,U01655,W00016,user_sends_wallet
user_U01655,wallet_W00016,U01655,W00016,user_sends_wallet
user_U01656,wallet_W00017,U01656,W00017,user_sends_wallet
user_U01657,wallet_W00018,U01657,W00018,user_sends_wallet
user_U01658,wallet_W00019,U01658,W00019,user_sends_wallet
user_U01659,wallet_W00020,U01659,W00020,user_sends_wallet
user_U01660,wallet_W00021,U01660,W00021,user_sends_wallet
user_U01661,wallet_W00022,U01661,W00022,user_sends_wallet
user_U01661,wallet_W00022,U01661,W00022,user_sends_wallet
user_U01662,wallet_W00023,U01662,W00023,user_sends_wallet
user_U01663,wallet_W00024,U01663,W00024,user_sends_wallet
user_U01663,wallet_W00024,U01663,W00024,user_sends_wallet
user_U01664,wallet_W00025,U01664,W00025,user_sends_wallet
user_U01665,wallet_W00026,U01665,W00026,user_sends_wallet
user_U01666,wallet_W00027,U01666,W00027,user_sends_wallet
user_U01667,wallet_W00028,U01667,W00028,user_sends_wallet
user_U01668,wallet_W00029,U01668,W00029,user_sends_wallet
user_U01669,wallet_W00030,U01669,W00030,user_sends_wallet
user_U01670,wallet_W00031,U01670,W00031,user_sends_wallet
user_U01671,wallet_W00032,U01671,W00032,user_sends_wallet
user_U01672,wallet_W00033,U01672,W00033,user_sends_wallet
user_U01673,wallet_W00034,U01673,W00034,user_sends_wallet
user_U01674,wallet_W00035,U01674,W00035,user_sends_wallet
user_U01675,wallet_W00036,U01675,W00036,user_sends_wallet
user_U01676,wallet_W00037,U01676,W00037,user_sends_wallet
user_U01677,wallet_W00038,U01677,W00038,user_sends_wallet
user_U01678,wallet_W00039,U01678,W00039,user_sends_wallet
user_U01679,wallet_W00040,U01679,W00040,user_sends_wallet
user_U01680,wallet_W00041,U01680,W00041,user_sends_wallet
user_U01680,wallet_W00041,U01680,W00041,user_sends_wallet
user_U01680,wallet_W00041,U01680,W00041,user_sends_wallet
user_U01681,wallet_W00042,U01681,W00042,user_sends_wallet
user_U01682,wallet_W00043,U01682,W00043,user_sends_wallet
user_U01683,wallet_W00044,U01683,W00044,user_sends_wallet
user_U01684,wallet_W00045,U01684,W00045,user_sends_wallet
user_U01684,wallet_W00046,U01684,W00046,user_sends_wallet
user_U01685,wallet_W00047,U01685,W00047,user_sends_wallet
user_U01686,wallet_W00048,U01686,W00048,user_sends_wallet
user_U01687,wallet_W00049,U01687,W00049,user_sends_wallet
user_U01688,wallet_W00050,U01688,W00050,user_sends_wallet
user_U01689,wallet_W00051,U01689,W00051,user_sends_wallet
user_U01690,wallet_W00052,U01690,W00052,user_sends_wallet
user_U01691,wallet_W00053,U01691,W00053,user_sends_wallet
user_U01692,wallet_W00054,U01692,W00054,user_sends_wallet
user_U01693,wallet_W00055,U01693,W00055,user_sends_wallet
user_U01694,wallet_W00056,U01694,W00056,user_sends_wallet
user_U01695,wallet_W00057,U01695,W00057,user_sends_wallet
user_U01696,wallet_W00058,U01696,W00058,user_sends_wallet
user_U01697,wallet_W00059,U01697,W00059,user_sends_wallet
user_U01698,wallet_W00060,U01698,W00060,user_sends_wallet
user_U01699,wallet_W00061,U01699,W00061,user_sends_wallet
user_U01699,wallet_W00062,U01699,W00062,user_sends_wallet
user_U01700,wallet_W00063,U01700,W00063,user_sends_wallet
user_U01701,wallet_W00064,U01701,W00064,user_sends_wallet
user_U01702,wallet_W00065,U01702,W00065,user_sends_wallet
user_U01703,wallet_W00066,U01703,W00066,user_sends_wallet
user_U01704,wallet_W00019,U01704,W00019,user_sends_wallet
user_U01705,wallet_W00067,U01705,W00067,user_sends_wallet
user_U01706,wallet_W00068,U01706,W00068,user_sends_wallet
user_U01707,wallet_W00069,U01707,W00069,user_sends_wallet
user_U01708,wallet_W00070,U01708,W00070,user_sends_wallet
user_U01709,wallet_W00071,U01709,W00071,user_sends_wallet
user_U01710,wallet_W00072,U01710,W00072,user_sends_wallet
user_U01711,wallet_W00073,U01711,W00073,user_sends_wallet
user_U01711,wallet_W00074,U01711,W00074,user_sends_wallet
user_U01712,wallet_W00075,U01712,W00075,user_sends_wallet
user_U01712,wallet_W00075,U01712,W00075,user_sends_wallet
user_U01713,wallet_W00076,U01713,W00076,user_sends_wallet
user_U01714,wallet_W00077,U01714,W00077,user_sends_wallet
user_U01715,wallet_W00078,U01715,W00078,user_sends_wallet
user_U01716,wallet_W00079,U01716,W00079,user_sends_wallet
user_U01717,wallet_W00080,U01717,W00080,user_sends_wallet
user_U01718,wallet_W00081,U01718,W00081,user_sends_wallet
user_U01719,wallet_W00082,U01719,W00082,user_sends_wallet
user_U01720,wallet_W00083,U01720,W00083,user_sends_wallet
user_U01721,wallet_W00084,U01721,W00084,user_sends_wallet
user_U01722,wallet_W00085,U01722,W00085,user_sends_wallet
user_U01723,wallet_W00086,U01723,W00086,user_sends_wallet
user_U01724,wallet_W00087,U01724,W00087,user_sends_wallet
user_U01079,wallet_W00088,U01079,W00088,user_sends_wallet
user_U01725,wallet_W00089,U01725,W00089,user_sends_wallet
user_U01726,wallet_W00090,U01726,W00090,user_sends_wallet
user_U01645,wallet_W00091,U01645,W00091,user_sends_wallet
user_U01645,wallet_W00091,U01645,W00091,user_sends_wallet
user_U01645,wallet_W00091,U01645,W00091,user_sends_wallet
