user_id,kyc_speed_sec,account_age_days,is_high_risk_career,is_high_risk_income,career_income_risk,career_freq,is_app_user,reg_hour,reg_is_night,reg_is_weekend,reg_to_kyc1_days,twd_dep_count,twd_dep_sum,twd_dep_mean,twd_dep_std,twd_dep_max,twd_wit_count,twd_wit_std,twd_wit_max,twd_net_flow,twd_withdraw_ratio,twd_wit_ip_ratio,crypto_dep_count,crypto_dep_mean,crypto_dep_max,crypto_wit_count,crypto_wit_sum,crypto_wit_mean,crypto_wit_max,crypto_currency_diversity,crypto_protocol_diversity,crypto_wallet_hash_nunique,crypto_internal_count,crypto_internal_peer_count,trading_mean,trading_max,trading_buy_ratio,trading_market_order_ratio,swap_count,swap_sum,ip_unique_count,ip_night_ratio,ip_max_shared,fund_stay_sec,pagerank_score,connected_component_size,total_tx_count,first_to_last_tx_days,weekend_tx_ratio,dep_to_first_wit_hours,twd_to_crypto_out_ratio,tx_amount_cv,rapid_kyc_then_trade,crypto_out_in_ratio,same_day_in_out_count,tx_interval_mean,tx_interval_std,tx_interval_min,tx_interval_median,amount_p90_p10_ratio,active_days,if_score,hbos_score,lof_score,gnn_emb_0,gnn_emb_1,gnn_emb_2,gnn_emb_3,gnn_emb_4,gnn_emb_5,gnn_emb_6,gnn_emb_7,gnn_emb_8,gnn_emb_9,gnn_emb_10,gnn_emb_11,gnn_emb_12,gnn_emb_13,gnn_emb_14,gnn_emb_15
U104529,,-0.30378023,,,,,-0.12540475,,,,,,,,,,,,,,,,,,,,-0.14467962,,,,,,,,,,,,,-0.22723673,,,,,,,,,0.12461238,,,,,,,-0.17814876,,,-0.50426406,,,,,,,,,,,,,-0.15965174,,,-0.19761793,-0.14870091,,,,
U104530,,-0.19289565,,,,,-0.14097756,-0.096287005,,,,,,,,,,,,-0.1283159,,,,,,,-0.19003795,,-0.100456655,,,,,,,,-0.12059834,,-0.10704296,-0.30168322,,,,,,,,,0.15204003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U104532,,-0.2830158,,,,0.13681425,-0.12145667,-0.115804784,,,,,,,,,,,0.15498076,0.18965697,,,,,,,-0.113874026,,,,,,,,,,,,,-0.3321955,,,,,,,,,-0.32033184,,,,,,,,,,0.13667041,,,,,,,,,,,,,,,,,,,,,
U104537,,-0.24725428,,,,,-0.1823116,-0.13284294,,,,,,,,,,,,-0.28290594,,,-0.14425579,,,,-0.19521657,,,,,,,,,,,,-0.1191142,-0.32488737,,,,,,,,,-0.55422115,,,,,,,-0.11891888,,,,,,,,,,,,,,,,,,,,,,,,
U29942,,-0.26177776,,,,0.20533152,-0.12401614,,,,,,-0.13048954,,,,,,,-0.20150165,,,,,,,-0.1681405,,,,,,,,,,,,,-0.20060836,,,,,,,,,0.13253088,,,,,,,-0.113745674,,,-0.25372937,,,,,,,,,,,,,,,,,,,,,
U03615,,-0.23362917,,,,0.1932319,-0.20509018,,,,,,-0.12375309,,,,,,,-0.112775,,,-0.11520736,,,,-0.14638354,,,,,,,,,,,,,-0.22308365,,,,,,,,,,,,,,,,-0.13189891,,,,,,,,,,,,,,,-0.1677418,,,,,,,,,
U28171,,-0.3397139,,,,-0.40205133,-0.18298702,,,,,,-0.118785106,,,,,,,-0.19421914,,,-0.14361788,,,,-0.17030157,,,,,,,,,,,,,-0.29754555,,,,,,,,,-0.39909348,,,,,,,-0.11417982,,,,,,,,,,,,,,,,,,,,,,,,
U104545,,-0.33579472,,,,-0.38168803,-0.12910797,,,,,,,,,,,,,,,,-0.15577577,,,,-0.13918597,,,,,,,,,,,,,-0.23012057,,-0.24087012,,,,,,,-0.36877787,,,,,,,,,,-0.40963987,,,,,,,,,,,,,-0.1604914,,,,,,,,
U08194,,-0.2752803,,,,-0.33787552,,,,,,,,,,,,,,,,,0.13472788,-0.17359604,,,0.16082798,,,-0.16268782,-0.123858005,,,,,,,,,-0.11328654,,-0.34789282,,,,,,,,,,,,,,,,,-0.45837787,,,,,,,,,,,,,,,,,,,,,
U104551,,-0.32972142,,,,,-0.110774316,,,,,,,,,,,,,0.14214116,,,,,,,-0.11916714,,,,,,,,,,,,,-0.27514687,,,,,,,,-0.10658905,0.12065326,,,,,,,-0.38166472,,,-0.31878886,,,,,,,,,,,,,,,,,,-0.1007074,,,
